experiment_name,roc_auc,f1_score,PA%20_roc_auc,PA%20_f1_score,PA%50_roc_auc,PA%50_f1_score,PA%80_roc_auc,PA%80_f1_score,disc_ratio_1,disc_ratio_2,t_ratio,disc_cohens_d_normal_vs_anomaly,disc_cohens_d_disturbing_vs_anomaly,recon_cohens_d_normal_vs_anomaly,recon_cohens_d_disturbing_vs_anomaly,inference_mode,scoring_mode
007_patch_20,0.9624023364329811,0.846423870118473,0.9869811367538621,0.7720585967617579,0.9800591757066583,0.7702001482579689,0.9597515468455375,0.7297090352220521,1.7369035896673544,1.3128202631897514,6.003788172551369,0.9681774623011907,0.3716476357285352,1.9495398156117514,1.081880440746678,all_patches,default
009_w500_p20,0.9585937499999999,0.8826479438314945,0.9793065506556329,0.8161272321428571,0.9688989230520471,0.8072246819874903,0.9256859466012095,0.7336218474854499,1.688702964284984,1.690473448352049,4.591830691031206,0.7270120983434849,0.49011556619771857,2.0829968960844196,1.2418301527640971,last_patch,default
009_w500_p20,0.9577510471350161,0.7400514264723889,0.994221641016218,0.7866084081247048,0.9892748422008162,0.7710432676494333,0.9651937261626092,0.7109117711633158,2.1526054077888293,2.016718736922782,4.499898257510605,1.1792680764788126,0.802904038657662,3.774542545992541,2.3124949620533943,all_patches,default
023_d_model_256,0.9575375,0.847682119205298,0.9807776010301651,0.8281461434370772,0.9689271228755548,0.8253645303492709,0.9208984527868407,0.7659422871392946,1.3094669151930758,1.0174359517941414,6.315502323338268,0.41130372624506484,0.02096214264014872,2.1104908041041575,1.1996070094003393,last_patch,default
019_decoder_t4s2,0.9572304804361517,0.8120876220638691,0.9932478698722484,0.8176671932596103,0.9877822062831697,0.8129398935994449,0.9602978870974397,0.7319449346981998,1.9362706285950106,1.400953248146349,5.69224515846521,0.9006930004086213,0.3514157342229025,2.2982309118980546,1.3616192304497292,all_patches,default
063_w500_p20_d128,0.9566514979237316,0.6573994867408041,0.9915656424679887,0.7109498011795788,0.9854977026799387,0.7063927796673719,0.9614217513194855,0.6540529996934823,1.6057814601683396,1.48439124109586,5.495414713207918,1.0509777116507955,0.7046050603490941,3.488802205124089,2.1054666684916885,all_patches,default
016_decoder_t4s1,0.9564063320080827,0.8046396455102307,0.9941049099524646,0.8064662728039992,0.988274373837662,0.802930164414781,0.9587597905263745,0.7212020033388982,1.971008684200145,1.4466967190176745,5.602051972735994,0.818323377116232,0.33755044246553617,2.308285430353487,1.3680045313276332,all_patches,default
022_d_model_128,0.9557474999999999,0.863593603010348,0.9827867624434568,0.8306442513821505,0.9691534850717729,0.8278669984166478,0.9297232193067008,0.7867010067899789,2.1605794931342617,1.1312717184867884,6.5970041143939495,0.8269172318767393,0.11644164600627589,2.152586705815984,1.2388619520382984,last_patch,default
015_decoder_t3s1,0.955510533118144,0.8144892795312292,0.9932162266490437,0.8225672946396053,0.986265751125764,0.8178312612193338,0.9582552333366586,0.7155704843428323,1.7313227966306775,1.2763206698867626,5.665333504391407,0.7311686303264013,0.2533727443627134,2.231664494670808,1.3110642175142846,all_patches,default
018_decoder_t3s2,0.9531515870204168,0.8082791561629296,0.9926763636016418,0.8215065141194365,0.9868739353472291,0.8158288201481875,0.9568092619255794,0.7129392221299339,1.6681257018322735,1.1477997081829319,5.7237002160446115,0.6543927934561629,0.14031364686543069,2.1957327777185727,1.2869058655602146,all_patches,default
